,report_id,effective_date,report_type,zn_price_usd_dmt,reported_zinc_price_rolling_40_mean,reported_zinc_price_rolling_40_std,reported_zinc_price_upper_1STD,reported_zinc_price_lower_1STD,reported_zinc_price_upper_2STD,reported_zinc_price_lower_2STD
0,2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,1984.158,,,,,,
1,2009-000009013 Apogee Minerals Ltd-f1-01372467_1-1-1,2008-12-01,MRE,1895.9732,,,,,,
2,2009-000005733 Sabina Silver Corporation-f1-01407382_1-1-1,2009-02-26,MRE,1416.3957597173144,,,,,,
3,2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,1770.4946996466429,,,,,,
4,2009-000003456 Gold Hawk Resources Inc-f1-01400028_1-1-1,2009-03-30,,1102.31,,,,,,
5,2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,2403.0358,,,,,,
6,2009-000002178 Silver Standard Resources Inc-f1-01445535_1-1-1,2009-06-12,,1543.234,,,,,,
7,2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,2601.4516,,,,,,
8,2009-000003295 Tri Origin Exploration Ltd-f1-01495592_1-1-1,2009-10-09,MRE,3350.0,,,,,,
9,2009-000001640 IMPACT Silver Corp-f1-01501206_1-1-1,2009-11-10,MRE,1499.1416,,,,,,
10,2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,1763.696,,,,,,
11,2010-000011649 Lithic Resources Ltd-f1-01521254_1-1-1,2009-12-23,MRE,1763.696,,,,,,
12,2010-000002586 Adex Mining Inc-f1-01526896_1-1-1,2010-01-22,,2586.702433416363,,,,,,
13,2010-000026045 Zazu Metals Corporation-f1-01563280_1-1-1,2010-04-08,PEA,2204.62,,,,,,
14,2010-000029868 Tahoe Resources Inc-f1-01574564_1-1-1,2010-04-30,,1984.158,,,,,,
15,2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,1433.003,,,,,,
16,2011a-000013727 MAG Silver Corp-f1-01686802_1-1-1,2010-09-08,,2204.62,,,,,,
17,2010-000022586 Donner Metals Ltd-f1-01646195_1-1-1,2010-09-21,,1763.696,,,,,,
18,2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,2425.082,,,,,,
19,2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,1940.0656,1981.7766846390161,518.6633361038606,2500.4400207428766,1463.1133485351556,3019.1033568467374,944.4500124312949
20,2010-000017006 Aquila Resources Inc-f1-01670111_1-1-1,2010-11-29,MRE,2094.389,1987.1391758466818,506.1274107954094,2493.266586642091,1481.0117650512725,2999.3939974375007,974.8843542558631
21,2010-000002929 Breakwater Resources Ltd-f1-01673123_2-1-1,2010-12-03,,2204.62,1997.024667853651,496.10133004375666,2493.1259978974076,1500.9233378098943,2989.2273279411643,1004.8220077661376
22,2011a-000001640 IMPACT Silver Corp-f1-01695177_1-1-1,2011-01-28,MRE,1763.696,1986.8799431643615,487.1308548877031,2474.0107980520647,1499.7490882766583,2961.1416529397675,1012.6182333889553
23,2011a-000005272 Jayden Resources Inc-f1-01707238_1-1-1,2011-03-04,PEA,1983.0,1986.7182788658465,476.4240329950149,2463.1423118608614,1510.2942458708317,2939.566344855876,1033.8702128758168
24,2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,2094.389,1991.0251077112127,466.88979904132503,2457.9149067525377,1524.1353086698878,2924.804705793863,1057.2455096285626
25,2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,2204.62,1999.2402958761663,459.3706164984002,2458.6109123745664,1539.8696793777663,2917.981528872967,1080.499062879366
26,2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,2204.62,2006.8469515844563,452.18072683387334,2459.0276784183297,1554.6662247505828,2911.208405252203,1102.4854979167096
27,2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1984.158,2006.0366318850115,443.7487216857887,2449.7853535708,1562.2879101992228,2893.534075256589,1118.539188513434
28,2011b-000021551 Selwyn Resources Ltd-f1-01761763_1-12-1,2011-07-06,MRE,2425.082,2020.4864721648385,442.64597825540625,2463.132450420245,1577.840493909432,2905.778428675651,1135.194515654026
29,2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,2094.389,2022.949889759344,435.156431193874,2458.106320953218,1587.7934585654698,2893.262752147092,1152.6370273715959
30,2012-000019735 Andover Mining Corp-f1-01847454_1-1-1,2011-11-17,,1895.9732,2018.8538675090426,428.4497422517602,2447.303609760803,1590.4041252572824,2875.753352012563,1161.9543830055222
31,2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2689.6364,2039.815821649385,437.8453012371421,2477.661122886527,1601.9705204122429,2915.506424123669,1164.125219175101
32,2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,2034.7888876600098,431.9161135014736,2466.7050011614833,1602.8727741585362,2898.621114662957,1170.9566606570625
33,2012-000006210 SILVERCORP METALS INC-f1-01856000_1-1-1,2012-01-23,,2204.62,2039.7839203758917,426.3176801694595,2466.101600545351,1613.4662402064323,2892.4192807148106,1187.1485600369729
34,2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2006.2042,2038.8244997937231,420.0398652849704,2458.8643650786935,1618.7846345087528,2878.904230363664,1198.7447692237824
35,2012-000001691 HudBay Minerals Inc-f1-01884181_1-1-1,2012-03-29,,2094.389,2040.3679581327867,414.0993758840614,2454.4673340168483,1626.2685822487254,2868.5667099009097,1212.169206364664
36,2012-000030669 Ivanhoe Australia Limited-f1-01915126_1-1-1,2012-04-16,,1873.927,2035.8695538589275,409.22332033417183,2445.0928741930993,1626.6462335247556,2854.3161945272714,1217.4229131905838
37,2012-000008090 Huakan International Mining Inc-f1-01920382_1-1-1,2012-04-24,,2087.3718775181305,2037.2248781657488,403.7418502091992,2440.966728374948,1633.4830279565497,2844.7085785841473,1229.7411777473503
38,2012-000005760 Sunridge Gold Corp-f1-01923758_4-1-1,2012-05-01,PFS,2182.5738,2040.9517735973961,399.07331566321625,2440.0250892606123,1641.87845793418,2839.0984049238286,1242.8051422709636
39,2012-000002753 CANADIAN ZINC CORPORATION-f1-01942300_1-1-1,2012-06-15,,2645.544,2056.066579257461,405.35691441978577,2461.423493677247,1650.709664837675,2866.7804080970327,1245.3527504178894
40,2012-000006210 SILVERCORP METALS INC-f1-01984618_6-1-1,2012-06-27,,2204.62,2061.5781292574616,405.8526031024587,2467.4307323599205,1655.7255261550029,2873.283335462379,1249.8729230525441
